"iso3","year","africa","americas","east_asia_and_the_pacific","europe","middle_east","other_not_classified","south_asia","total","of_which,_nationals_residing_abroad"
BRN,2016-01-01 00:00:00.000,,5.0,179.0,18.0,1.0,3.0,12.0,219.0,
BRN,2017-01-01 00:00:00.000,,7.0,212.0,21.0,1.0,4.0,15.0,259.0,
BRN,2018-01-01 00:00:00.000,,6.0,229.0,22.0,1.0,4.0,16.0,278.0,
BRN,2019-01-01 00:00:00.000,,7.0,283.0,24.0,1.0,4.0,15.0,333.0,
BRN,2020-01-01 00:00:00.000,,1.0,51.0,6.0,0.0,1.0,3.0,62.0,
BRN,2021-01-01 00:00:00.000,,1.0,51.0,6.0,0.0,1.0,3.0,62.0,
BGR,2012-01-01 00:00:00.000,3.0,94.0,56.0,8525.0,30.0,133.0,26.0,8867.0,
BGR,2013-01-01 00:00:00.000,6.0,102.0,78.0,8889.0,44.0,50.0,24.0,9192.0,
BGR,2014-01-01 00:00:00.000,6.0,113.0,92.0,9078.0,36.0,51.0,33.0,9409.0,
BGR,2015-01-01 00:00:00.000,7.0,114.0,93.0,8978.0,34.0,55.0,36.0,9317.0,
BGR,2016-01-01 00:00:00.000,9.0,116.0,95.0,10260.0,30.0,45.0,50.0,10604.0,
BGR,2017-01-01 00:00:00.000,9.0,131.0,112.0,11221.0,30.0,41.0,52.0,11596.0,
BGR,2018-01-01 00:00:00.000,10.0,148.0,119.0,11976.0,30.0,41.0,44.0,12368.0,
BGR,2019-01-01 00:00:00.000,11.0,157.0,122.0,12143.0,32.0,47.0,40.0,12552.0,
BGR,2020-01-01 00:00:00.000,4.0,36.0,20.0,4860.0,13.0,24.0,17.0,4973.0,
BGR,2021-01-01 00:00:00.000,5.0,68.0,20.0,7003.0,23.0,39.0,31.0,7188.0,
BFA,2012-01-01 00:00:00.000,118.0,19.0,9.0,79.0,2.0,11.0,1.0,237.0,11.0
BFA,2013-01-01 00:00:00.000,108.0,20.0,9.0,68.0,2.0,11.0,1.0,218.0,11.0
BFA,2014-01-01 00:00:00.000,84.0,12.0,25.0,59.0,1.0,10.0,1.0,191.0,10.0
BFA,2015-01-01 00:00:00.000,85.0,13.0,9.0,47.0,1.0,8.0,1.0,163.0,8.0
BFA,2016-01-01 00:00:00.000,83.0,10.0,8.0,44.0,1.0,7.0,1.0,152.0,7.0
BFA,2017-01-01 00:00:00.000,80.0,8.0,8.0,43.0,1.0,3.0,1.0,143.0,3.0
BFA,2018-01-01 00:00:00.000,82.0,8.0,9.0,39.0,1.0,7.0,1.0,144.0,7.0
BFA,2019-01-01 00:00:00.000,86.0,9.0,9.0,32.0,1.0,7.0,1.0,143.0,7.0
BFA,2020-01-01 00:00:00.000,42.0,3.0,3.0,14.0,1.0,4.0,1.0,67.0,4.0
BFA,2021-01-01 00:00:00.000,72.0,3.0,3.0,22.0,1.0,4.0,1.0,106.0,4.0
BDI,2012-01-01 00:00:00.000,125.0,3.0,4.0,9.0,1.0,2.0,3.0,147.0,
BDI,2013-01-01 00:00:00.000,148.0,10.0,11.0,38.0,14.0,6.0,7.0,234.0,
