"iso3","year","gdp"
MDA,2013-01-01 00:00:00.000,3321.04391743353
MCO,2013-01-01 00:00:00.000,185066.578132655
MNG,2013-01-01 00:00:00.000,4422.30087597824
MNE,2013-01-01 00:00:00.000,7189.29328653737
MAR,2013-01-01 00:00:00.000,3117.51513671875
MOZ,2013-01-01 00:00:00.000,672.204236256964
MMR,2013-01-01 00:00:00.000,1195.93779969734
NAM,2013-01-01 00:00:00.000,5463.01736050918
NRU,2013-01-01 00:00:00.000,9210.00969180832
NPL,2013-01-01 00:00:00.000,809.384600551033
NLD,2013-01-01 00:00:00.000,52198.8975607454
NZL,2013-01-01 00:00:00.000,42976.6495882584
NIC,2013-01-01 00:00:00.000,1794.78657461684
NER,2013-01-01 00:00:00.000,548.157875478729
NGA,2013-01-01 00:00:00.000,2976.75673612767
MKD,2013-01-01 00:00:00.000,5241.05834548355
NOR,2013-01-01 00:00:00.000,102913.450843674
OMN,2013-01-01 00:00:00.000,23563.9405992228
PAK,2013-01-01 00:00:00.000,1126.04126067776
PLW,2013-01-01 00:00:00.000,12418.8261724235
PAN,2013-01-01 00:00:00.000,11932.2862205866
PNG,2013-01-01 00:00:00.000,2578.51013528353
